surface_name	site_name	species_name	formation_energy	frequencies	reference
Ag	111	H-H	1.07	[1224.9, 1016.8, 814.3, 376.5, 311.2]	This work
Cu	111	H-H	0.78	[1224.9, 1016.8, 814.3, 376.5, 311.2]	This work
Pd	111	H-H	0.08	[1224.9, 1016.8, 814.3, 376.5, 311.2]	This work
Pt	111	H-H	0.09	[1224.9, 1016.8, 814.3, 376.5, 311.2]	This work
Rh	111	H-H	0.18	[1224.9, 1016.8, 814.3, 376.5, 311.2]	This work
Ag	111	CH3-H	2.55	[3154.7, 3136.2, 3028.3, 1426.8, 1421.0, 1358.3, 1104.9, 759.3, 717.9, 368.1, 315.1, 125.1, 86.6, 69.4]	This work
Cu	111	CH3-H	1.88	[3154.7, 3136.2, 3028.3, 1426.8, 1421.0, 1358.3, 1104.9, 759.3, 717.9, 368.1, 315.1, 125.1, 86.6, 69.4]	This work
Pd	111	CH3-H	0.95	[3154.7, 3136.2, 3028.3, 1426.8, 1421.0, 1358.3, 1104.9, 759.3, 717.9, 368.1, 315.1, 125.1, 86.6, 69.4]	This work
Pt	111	CH3-H	0.99	[3154.7, 3136.2, 3028.3, 1426.8, 1421.0, 1358.3, 1104.9, 759.3, 717.9, 368.1, 315.1, 125.1, 86.6, 69.4]	This work
Rh	111	CH3-H	0.88	[3154.7, 3136.2, 3028.3, 1426.8, 1421.0, 1358.3, 1104.9, 759.3, 717.9, 368.1, 315.1, 125.1, 86.6, 69.4]	This work
Ag	111	CH3-H--O	3.2	[3095.1, 3057.4, 2993.9, 1471.6, 1424.2, 1407.7, 1164.4, 1152.8, 616.7, 574.0, 524.8, 368.0, 349.9, 217.3, 92.1, 49.0, 41.2]	This work
Cu	111	CH3-H--O	2.5	[3095.1, 3057.4, 2993.9, 1471.6, 1424.2, 1407.7, 1164.4, 1152.8, 616.7, 574.0, 524.8, 368.0, 349.9, 217.3, 92.1, 49.0, 41.2]	This work
Pd	111	CH3-H--O	2.71	[3095.1, 3057.4, 2993.9, 1471.6, 1424.2, 1407.7, 1164.4, 1152.8, 616.7, 574.0, 524.8, 368.0, 349.9, 217.3, 92.1, 49.0, 41.2]	This work
Pt	111	CH3-H--O	2.92	[3095.1, 3057.4, 2993.9, 1471.6, 1424.2, 1407.7, 1164.4, 1152.8, 616.7, 574.0, 524.8, 368.0, 349.9, 217.3, 92.1, 49.0, 41.2]	This work
Rh	111	CH3-H--O	2.04	[3095.1, 3057.4, 2993.9, 1471.6, 1424.2, 1407.7, 1164.4, 1152.8, 616.7, 574.0, 524.8, 368.0, 349.9, 217.3, 92.1, 49.0, 41.2]	This work
Ag	111	CH3-H--OH	1.97	[3709.6, 3068.0, 3018.0, 2961.4, 1540.9, 1432.2, 1425.2, 1236.1, 1152.6, 748.1, 650.8, 546.9, 481.9, 380.0, 318.7, 247.6, 120.7, 90.3, 80.4, 14.2]	This work
Cu	111	CH3-H--OH	1.8	[3709.6, 3068.0, 3018.0, 2961.4, 1540.9, 1432.2, 1425.2, 1236.1, 1152.6, 748.1, 650.8, 546.9, 481.9, 380.0, 318.7, 247.6, 120.7, 90.3, 80.4, 14.2]	This work
Pd	111	CH3-H--OH	1.78	[3709.6, 3068.0, 3018.0, 2961.4, 1540.9, 1432.2, 1425.2, 1236.1, 1152.6, 748.1, 650.8, 546.9, 481.9, 380.0, 318.7, 247.6, 120.7, 90.3, 80.4, 14.2]	This work
Pt	111	CH3-H--OH	1.84	[3709.6, 3068.0, 3018.0, 2961.4, 1540.9, 1432.2, 1425.2, 1236.1, 1152.6, 748.1, 650.8, 546.9, 481.9, 380.0, 318.7, 247.6, 120.7, 90.3, 80.4, 14.2]	This work
Rh	111	CH3-H--OH	1.53	[3709.6, 3068.0, 3018.0, 2961.4, 1540.9, 1432.2, 1425.2, 1236.1, 1152.6, 748.1, 650.8, 546.9, 481.9, 380.0, 318.7, 247.6, 120.7, 90.3, 80.4, 14.2]	This work
Ag	111	CH2-H	4.0	[3080.5, 3007.1, 1406.2, 1361.2, 822.3, 622.7, 534.5, 442.3, 340.2, 222.8, 77.0]	This work
Cu	111	CH2-H	2.89	[3080.5, 3007.1, 1406.2, 1361.2, 822.3, 622.7, 534.5, 442.3, 340.2, 222.8, 77.0]	This work
Pd	111	CH2-H	1.8	[3080.5, 3007.1, 1406.2, 1361.2, 822.3, 622.7, 534.5, 442.3, 340.2, 222.8, 77.0]	This work
Pt	111	CH2-H	1.47	[3080.5, 3007.1, 1406.2, 1361.2, 822.3, 622.7, 534.5, 442.3, 340.2, 222.8, 77.0]	This work
Rh	111	CH2-H	1.3	[3080.5, 3007.1, 1406.2, 1361.2, 822.3, 622.7, 534.5, 442.3, 340.2, 222.8, 77.0]	This work
